Date,HDFCBANK.NS,ICICIBANK.NS
2020-01-01,605.5294189453125,519.137939453125
2020-01-02,609.3890380859375,522.861572265625
2020-01-03,600.6987915039062,521.1689453125
2020-01-06,587.6987915039062,508.4505920410156
2020-01-07,597.0047607421875,505.74237060546875
2020-01-08,595.4419555664062,508.69232177734375
2020-01-09,602.11962890625,528.37451171875
2020-01-10,607.4711303710938,522.5231323242188
2020-01-13,609.0338745117188,520.9271850585938
2020-01-14,610.6915283203125,519.9600219726562
2020-01-15,608.2051391601562,518.025634765625
2020-01-16,609.8153686523438,519.5248413085938
2020-01-17,605.3162841796875,514.5921020507812
2020-01-20,594.3053588867188,517.30029296875
2020-01-21,589.3089599609375,513.6249389648438
2020-01-22,587.6514282226562,505.69403076171875
2020-01-23,589.5457763671875,510.3849182128906
2020-01-24,589.4037475585938,516.3330078125
2020-01-27,574.5567016601562,519.62158203125
2020-01-28,579.2926635742188,510.8684997558594
2020-01-29,585.2835083007812,509.32098388671875
2020-01-30,580.6424560546875,514.7372436523438
2020-01-31,580.7607421875,508.40216064453125
2020-02-03,564.8955078125,498.6335754394531
2020-02-04,582.4183349609375,513.3831787109375
2020-02-05,589.4510498046875,521.4108276367188
2020-02-06,587.1541748046875,523.8287963867188
2020-02-07,588.2907104492188,518.8477783203125
2020-02-10,587.3909301757812,516.4298095703125
2020-02-11,587.5330200195312,522.0394287109375
2020-02-12,591.51123046875,531.276123046875
2020-02-13,587.9119262695312,523.2484741210938
2020-02-14,577.4693603515625,527.8910522460938
2020-02-17,576.4274291992188,523.8287963867188
2020-02-18,574.5804443359375,523.4419555664062
2020-02-19,581.1868896484375,526.9237670898438
2020-02-20,576.4037475585938,529.0515747070312
2020-02-24,573.0175170898438,512.4642944335938
2020-02-25,568.4474487304688,513.5282592773438
2020-02-26,567.9502563476562,506.5161437988281
2020-02-27,568.0448608398438,498.4400634765625
2020-02-28,557.720703125,480.9340515136719
2020-03-02,558.6441650390625,489.4936218261719
2020-03-03,559.6860961914062,497.8597717285156
2020-03-04,544.081298828125,491.6698303222656
2020-03-05,545.2653198242188,487.94610595703125
2020-03-06,537.474853515625,470.39166259765625
2020-03-09,524.4037475585938,442.7301025390625
2020-03-11,527.4820556640625,450.3708801269531
2020-03-12,483.67523193359375,411.683349609375
2020-03-13,506.6443176269531,432.5262756347656
2020-03-16,473.3509826660156,389.6798400878906
2020-03-17,461.79547119140625,355.1996154785156
2020-03-18,415.2891845703125,343.3999328613281
2020-03-19,424.12158203125,327.4413146972656
2020-03-20,418.10699462890625,334.3567199707031
2020-03-23,365.39666748046875,274.6812744140625
2020-03-24,363.5733642578125,286.7711181640625
2020-03-25,405.7463684082031,306.501708984375
2020-03-26,426.74993896484375,319.4137268066406
2020-03-27,428.33648681640625,328.69873046875
2020-03-30,393.8593444824219,303.1165771484375
2020-03-31,408.18536376953125,313.126953125
2020-04-01,392.912109375,300.9404296875
2020-04-03,385.429443359375,277.2442932128906
2020-04-07,424.38201904296875,315.39984130859375
2020-04-08,420.97222900390625,308.4844665527344
2020-04-09,438.0924072265625,331.4552001953125
2020-04-13,424.0268249511719,319.8005676269531
2020-04-15,408.8483581542969,316.60888671875
2020-04-16,416.6388854980469,330.7781677246094
2020-04-17,431.1069641113281,363.227294921875
2020-04-20,447.46942138671875,349.4448547363281
2020-04-21,436.4822082519531,320.961181640625
2020-04-22,439.77362060546875,324.92669677734375
2020-04-23,452.252685546875,341.3688659667969
2020-04-24,444.24908447265625,323.8627624511719
2020-04-27,440.2945861816406,336.48455810546875
2020-04-28,441.0997009277344,348.04248046875
2020-04-29,462.7426452636719,358.2946472167969
2020-04-30,474.4402770996094,367.67633056640625
2020-05-04,437.1215515136719,326.9577331542969
2020-05-05,431.651611328125,319.9940490722656
2020-05-06,448.2035217285156,330.19781494140625
2020-05-07,438.0687255859375,325.7004089355469
2020-05-08,439.98675537109375,326.6192932128906
2020-05-11,433.7117004394531,309.6451110839844
2020-05-12,426.96307373046875,310.6606750488281
2020-05-13,439.32373046875,326.9577331542969
2020-05-14,423.24542236328125,316.6571960449219
2020-05-15,420.61700439453125,312.1114501953125
2020-05-18,396.2272644042969,288.70550537109375
2020-05-19,393.3857421875,290.4464111328125
2020-05-20,405.9120788574219,295.6208801269531
2020-05-21,407.0723876953125,294.4118957519531
2020-05-22,397.26910400390625,281.4999084472656
2020-05-26,403.6862487792969,283.0958251953125
2020-05-27,427.9576416015625,308.38775634765625
2020-05-28,447.65887451171875,316.1252746582031
2020-05-29,450.68988037109375,321.05792236328125
2020-06-01,467.7389831542969,328.1183776855469
2020-06-02,474.0614013671875,336.9681701660156
2020-06-03,484.1251220703125,345.140869140625
2020-06-04,474.3929443359375,336.4361877441406
2020-06-05,489.3819274902344,345.4794006347656
2020-06-08,481.11785888671875,347.9940490722656
2020-06-09,467.5732727050781,337.1132507324219
2020-06-10,469.72808837890625,341.4172058105469
2020-06-11,458.7171325683594,330.0527648925781
2020-06-12,465.4184265136719,332.9059753417969
2020-06-15,449.83740234375,320.2358093261719
2020-06-16,469.0413818359375,331.69696044921875
2020-06-17,463.7608642578125,330.72979736328125
2020-06-18,483.0359191894531,340.4500732421875
2020-06-19,489.3819274902344,351.86285400390625
2020-06-22,487.2034606933594,355.4897766113281
2020-06-23,493.62060546875,363.8076171875
2020-06-24,488.9794616699219,336.67803955078125
2020-06-25,487.2034606933594,339.4828186035156
2020-06-26,500.32183837890625,337.64520263671875
2020-06-29,509.604248046875,331.842041015625
2020-06-30,504.77349853515625,339.9180908203125
